sku,upc,prod_title,category,msrp_price,customer_price,qty_in_stock,description,brand,specification,images,pdfs
12SD004FUS,,Lenovo ThinkCentre neo 50a 24 Gen 5 i5 16GB 512GB | All-in-One PC,Hardware,$972.30,$972.30,1,Lenovo ThinkCentre neo 50a 24 Gen 5 i5 16GB 512GB | All-in-One PC,N/A,,https://a5it.com/product/lenovo-ts-neo-50a-24-i5-16g-512-11p/12SD004FUS,
12RQ000KUS,,TS M75q G5 R5P 8500GE 16G 512G,Hardware,$906.06,$906.06,1,TS M75q G5 R5P 8500GE 16G 512G,N/A,,https://a5it.com/product/lenovo-ts-m75q-g5-r5p-8500ge-16g-512g/12RQ000KUS,
82W40009US,,"Lenovo TS 500e G4 N100 4GB 32GB Chromebook | Education, Touch, Chrome OS",Hardware,$414.87,$414.87,1,"Lenovo TS 500e G4 N100 4GB 32GB Chromebook | Education, Touch, Chrome OS",N/A,,https://a5it.com/product/lenovo-ts-neo-50q-g4-i5-16-256g-w11p/12LN000BUS,
21M5000GUS,,"Lenovo ThinkPad E16 Gen 2, Ryzen 5 7535U, 16 GB, 256 GB | Business Laptop",Hardware,$802.23,$802.23,1,"Lenovo ThinkPad E16 Gen 2, Ryzen 5 7535U, 16 GB, 256 GB | Business Laptop",N/A,,https://a5it.com/product/lenovo-ts-e16-r5-7535u-16g-256g-11p/21M5000GUS,
12RQ000MUS,,Lenovo ThinkCentre M75q Gen 5 Ryzen 7 PRO 8700GE 16GB 512GB | Mini PC,Hardware,"$1,094.66","$1,094.66",1,Lenovo ThinkCentre M75q Gen 5 Ryzen 7 PRO 8700GE 16GB 512GB | Mini PC,N/A,,https://a5it.com/product/lenovo-ts-m75q-g5-r7p8700ge-16g-512g/12RQ000MUS,
82W40009US,,"Lenovo TS 500e G4 N100 4GB 32GB Chromebook | Education, Touch, Chrome OS",Hardware,$414.87,$414.87,1,"Lenovo TS 500e G4 N100 4GB 32GB Chromebook | Education, Touch, Chrome OS",N/A,,https://a5it.com/product/lenovo-ts-500e-g4-n100-4g-32g-crm/82W40009US,
12SB003GUS,,"Lenovo ThinkCentre neo 50a 27 G5 i5-13420H, 16 GB, 512 GB | All-in-One",Hardware,$898.24,$898.24,1,"Lenovo ThinkCentre neo 50a 27 G5 i5-13420H, 16 GB, 512 GB | All-in-One",N/A,,https://a5it.com/product/lenovo-ts-neo-50a-27-g5-i513420h-16g/12SB003GUS,
12TD001KUS,,"Lenovo ThinkCentre M70q Gen 5 i7-14700T 16GB 512GB | vPro, Enterprise",Hardware,"$1,819.17","$1,819.17",1,"Lenovo ThinkCentre M70q Gen 5 i7-14700T 16GB 512GB | vPro, Enterprise",N/A,,https://a5it.com/product/lenovo-ts-m70q-g5-i714700t-16g-512g/12TD001KUS,
12TD001SUS,,Lenovo ThinkCentre M70q Gen 5 i7-14700T 32 GB 1 TB | Mini PC,Hardware,"$1,395.50","$1,395.50",1,Lenovo ThinkCentre M70q Gen 5 i7-14700T 32 GB 1 TB | Mini PC,N/A,,https://a5it.com/product/lenovo-ts-m70q-g5-i7-32g-1t-11p/12TD001SUS,
GS308-300PAS,,Netgear GS308-300PAS 8-Port Gigabit Unmanaged Switch | Enterprise Network,Hardware,$27.99,$27.99,1,Netgear GS308-300PAS 8-Port Gigabit Unmanaged Switch | Enterprise Network,N/A,,https://a5it.com/product/netgear-8-port-gigabit-unmanaged/GS308-300PAS,
GS308PP-100NAS,,NETGEAR GS308PP-100NAS 8-Port Gigabit Unmanaged PoE+ Switch | FlexPoE,Hardware,$129.99,$129.99,1,NETGEAR GS308PP-100NAS 8-Port Gigabit Unmanaged PoE+ Switch | FlexPoE,N/A,,https://a5it.com/product/netgear-8-port-gig-unmanaged-poe/GS308PP-100NAS,
ZGV-00001,,"Microsoft Surface Laptop 7 13.8"" 16GB 256GB | Copilot+ PC, Business",Hardware,"$1,204.16","$1,204.16",1,"Microsoft Surface Laptop 7 13.8"" 16GB 256GB | Copilot+ PC, Business",N/A,,https://a5it.com/product/microsoft-lpt7-13-pls-16-256-platinum/ZGV-00001,
12SB003XUS,,"Lenovo ThinkCentre neo 50a 27 G5 i7-13620H, 16 GB, 512 GB SSD | Enterprise",Hardware,"$1,578.93","$1,578.93",1,"Lenovo ThinkCentre neo 50a 27 G5 i7-13620H, 16 GB, 512 GB SSD | Enterprise",N/A,,https://a5it.com/product/lenovo-ts-neo-50a-27-g5-i713620h-16g/12SB003XUS,
ZGZ-00038,,"Microsoft Surface Laptop 7 13.8, 16 GB, 512 GB | Copilot+ PC",Hardware,"$1,499.24","$1,499.24",1,"Microsoft Surface Laptop 7 13.8, 16 GB, 512 GB | Copilot+ PC",N/A,,https://a5it.com/product/microsoft-lpt7-13-eli-16-512-graphite/ZGZ-00038,
21M3000NUS,,Lenovo ThinkPad E14 Gen 6 Ryzen 5 7535U 16GB 256GB | Business Laptop,Hardware,$790.73,$790.73,1,Lenovo ThinkPad E14 Gen 6 Ryzen 5 7535U 16GB 256GB | Business Laptop,N/A,,https://a5it.com/product/lenovo-ts-e14-r5-7535u-16g-256g-11p/21M3000NUS,
21M5000KUS,,"Lenovo ThinkPad E16 Gen 2 Ryzen 7 7735U, 16GB, 512GB | Business Laptop",Hardware,$958.17,$958.17,1,"Lenovo ThinkPad E16 Gen 2 Ryzen 7 7735U, 16GB, 512GB | Business Laptop",N/A,,https://a5it.com/product/lenovo-ts-e16-r7-7735u-16g-512g-11p/21M5000KUS,
12SD004LUS,,Lenovo ThinkCentre neo 50a 24 G5 i7 16GB 512GB | All-in-One PC,Hardware,$966.53,$966.53,1,Lenovo ThinkCentre neo 50a 24 G5 i7 16GB 512GB | All-in-One PC,N/A,,https://a5it.com/product/lenovo-ts-neo-50a-24-g5-i5-16g-11p/12SD004AUS,
